assigned gene	MIPS Description	p-value	p-value	p-value
YOL051W	DNA-directed RNA polymerase II holoenzyme and Kornberg's mediator (SRB) subcomplex subunit	7.20E-01	5.80E-01	8.00E-01
YOL052C	adenosylmethionine decarboxylase precursor	7.20E-01	5.80E-01	8.00E-01
YOL052C-A	heat shock protein DDRA2	4.70E-01	9.80E-02	9.30E-01
YOL053W	hypothetical protein	5.50E-01	6.10E-01	5.70E-01
YOL054W	weak similarity to transcription factors	5.50E-01	7.40E-01	4.10E-01
YOL055C	hydroxymethylpyrimidine phosphate (HMP-P) kinase	9.30E-01	8.30E-01	6.60E-01
YOL056W	phosphoglycerate mutase	8.30E-01	3.70E-01	7.60E-01
YOL057W	similarity to hypothetical C. elegans protein F02E9.6	7.50E-02	1.80E-01	2.10E-01
YOL058W	argininosuccinate synthetase	7.90E-01	4.80E-01	9.50E-01
YOL059W	"glycerol-3-phosphate dehydrogenase (NAD+), mitochondrial"	5.20E-01	1.70E-01	4.30E-01
YOL060C	similarity to hypothetical C.elegans and A.thaliana proteins	5.20E-01	1.70E-01	4.30E-01
YOL061W	ribose-phosphate pyrophosphokinases	2.50E-01	7.90E-01	3.40E-01
YOL062C	"AP-2 complex subunit, mu2 subunit, 55 KD"	2.50E-01	7.90E-01	3.40E-01
YOL063C	hypothetical protein	7.80E-01	5.00E-01	6.60E-01
YOL064C	protein ser/thr phosphatase	7.80E-02	6.90E-01	5.10E-01
YOL065C	inositol polyphosphate 5-phosphatase	6.60E-01	3.80E-01	6.00E-01
YOL066C	DRAP deaminase	1.00E+00	4.50E-01	3.80E-01
YOL067C	basic helix-loop-helix transcription factor that regulates CIT2 gene expression	5.30E-01	4.60E-01	6.50E-01
YOL068C	silencing protein	1.00E+00	3.10E-01	6.00E-01
YOL069W	spindle pole body protein	2.30E-01	3.90E-01	5.50E-01
YOL070C	hypothetical protein	2.30E-01	3.90E-01	5.50E-01
YOL071W	similarity to hypothetical S. pombe protein	4.60E-01	4.00E-01	4.70E-01
YOL072W	weak similarity to hypothetical protein C. elegans	6.00E-01	7.40E-01	1.00E+00
YOL073C	weak similarity to hypothetical protein S. pombe	6.00E-01	7.40E-01	1.00E+00
YOL075C	similarity to A.gambiae ATP-binding-cassette protein	1.10E-02	9.00E-01	6.10E-01
YOL076W	necessary for mitochondrial inheritance and organisation of the actin cytoskeleton	6.00E-02	6.10E-01	7.50E-01
YOL077C	strong similarity to C.elegans K12H4.3 protein	6.00E-02	6.10E-01	7.50E-01
YOL077W-A	subunit K of the dimeric form of mitochondrial F1F0-ATP synthase	1.80E-01	1.70E-02	6.90E-01
YOL078W	similarity to stress activated MAP kinase interacting protein S. pombe	1.80E-01	1.70E-02	6.90E-01
YOL079W	similarity to NADH dehydrogenases	5.20E-01	6.60E-01	6.60E-01
YOL080C	strong similarity to X.laevis XPMC2 protein and YGR276c	1.80E-01	1.70E-02	6.90E-01
YOL081W	GTPase-activating protein for RAS proteins	4.50E-01	9.50E-01	4.30E-01
YOL082W	similarity to YOL083w	8.50E-01	6.60E-01	7.80E-01
YOL083W	similarity to YOL082w	9.50E-01	6.70E-01	8.40E-01
YOL084W	similarity to A.thaliana hyp1 protein	7.40E-01	5.10E-01	8.60E-01
YOL085C	hypothetical protein	7.40E-01	5.10E-01	8.60E-01
YOL086C	alcohol dehydrogenase I	1.00E+00	4.90E-01	3.60E-01
YOL087C	similarity to S.pombe hypothetical protein	6.80E-01	6.60E-01	4.60E-01
YOL088C	protein disulfide isomerase-related protein	9.00E-01	7.20E-01	6.20E-01
YOL089C	transcriptional activator of ENA1	5.90E-01	8.60E-01	5.30E-01
YOL090W	DNA mismatch repair protein	1.40E-01	4.50E-01	3.10E-01
YOL091W	"component of the meiotic plaque, required for formation of the prospore membrane"	7.20E-01	1.00E+00	1.00E+00
YOL092W	strong similarity to YBR147w	5.20E-01	2.70E-01	1.00E+00
YOL093W	similarity to C.elegans hypothetical protein F25H8.1	4.80E-01	7.20E-01	4.70E-01
YOL094C	"DNA replication factor C, 37 kDa subunit"	4.80E-01	7.20E-01	4.70E-01
YOL095C	mitochondrial DNA helicase	3.80E-01	3.60E-01	1.00E+00
YOL096C	enzyme of ubiquinone (coenzyme Q) biosynthesis	5.40E-01	5.20E-01	3.90E-01
YOL097C	tryptophan--tRNA ligase	2.10E-01	5.80E-01	3.40E-01
YOL098C	similarity to hypothetical S.pombe protein	4.50E-01	5.20E-01	3.60E-01
YOL099C	questionable ORF	6.50E-01	5.50E-01	1.00E+00
YOL100W	similarity to ser/thr protein kinases	3.20E-01	3.20E-01	2.90E-01
YOL101C	similarity to YOL002c and YDR492w	3.20E-01	3.20E-01	2.90E-01
YOL102C	tRNA 2'-phosphotransferase	5.20E-01	3.50E-01	1.30E-01
YOL103W	"myo-inositol permease, minor"	6.30E-01	6.20E-01	3.40E-01
YOL103W-A		1.50E-01	4.60E-01	4.80E-01
YOL103W-B		1.50E-01	4.60E-01	4.80E-01
YOL104C	meiotic telomere protein	1.50E-01	4.60E-01	4.80E-01
YOL105C	cell wall integrity and stress response component 3	3.50E-01	4.00E-01	4.90E-01
YOL106W	questionable ORF - identified by SAGE	2.10E-01	2.90E-01	4.20E-01
YOL107W	weak similarity to human PL6 protein	9.60E-02	2.10E-01	3.70E-01
YOL108C	basic helix-loop-helix transcription factor	9.60E-02	2.10E-01	3.70E-01
YOL109W	weak similarity to G.hirsutum embryonic abundant protein D-7	5.00E-01	2.60E-01	2.00E-01
YOL110W	RAS suppressor	9.20E-01	2.40E-01	6.90E-01
YOL111C	weak similarity to human ubiquitin-like protein GDX	9.20E-01	2.40E-01	6.90E-01
YOL112W	similarity to Mic1p and human transforming protein tre-2	5.20E-01	3.30E-01	8.40E-01
YOL113W	STE20/PAK-like protein kinase	9.60E-02	5.30E-08	7.00E-01
YOL114C	similarity to human DS-1 protein	9.60E-02	5.30E-08	7.00E-01
YOL115W	topoisomerase I-related protein	6.10E-02	4.90E-01	8.50E-01
YOL116W	transcriptional activator	5.80E-01	8.60E-01	7.20E-01
YOL117W	weak similarity to human sodium channel alpha chain HBA	3.30E-01	5.90E-01	5.80E-01
YOL118C	hypothetical protein	3.30E-01	5.90E-01	5.80E-01
YOL119C	similarity to monocarboxylate transporter proteins	1.10E-01	8.50E-01	7.90E-01
YOL120C	60S large subunit ribosomal protein S18.e	6.80E-01	3.10E-01	2.60E-01
YOL121C	40S small subunit ribosomal protein S19.e	4.40E-01	1.00E+00	1.00E+00
YOL122C	manganese transporter	2.40E-01	1.10E-01	9.40E-01
YOL123W	CF Ib (RNA3' Cleavage factor Ib)	3.90E-01	1.20E-01	9.80E-01
YOL124C	weak similarity to M.jannaschii hypothetical protein	3.90E-01	1.20E-01	9.80E-01
YOL125W	similarity to hypothetical protein D. melanogaster	6.40E-01	5.90E-01	5.60E-01
YOL126C	"malate dehydrogenase, cytoplasmic"	6.40E-01	5.90E-01	5.60E-01
YOL127W	ribosomal protein L23a.e	9.20E-01	8.30E-01	5.10E-01
YOL128C	strong similarity to protein kinase MCK1P	9.20E-01	8.30E-01	5.10E-01
YOL129W	similarity to hypothetical S. pombe protein	7.50E-01	8.10E-01	5.00E-01
YOL130W	divalent cation transporter	9.10E-01	9.10E-01	6.90E-01
YOL131W	hypothetical protein	5.60E-01	6.80E-01	7.70E-01
YOL132W	similarity to glycophospholipid-anchored surface glycoprotein GAS1P	9.40E-01	8.60E-01	5.80E-01
YOL133W	similarity to Lotus RING-finger protein	7.40E-01	6.50E-01	1.00E+00
YOL134C	questionable ORF	9.40E-01	8.60E-01	5.80E-01
YOL135C	member of RNA Polymerase II transcriptional regulation mediator complex	7.40E-01	6.50E-01	1.00E+00
YOL136C	"6-phosphofructose-2-kinase, isoenzyme 2"	9.60E-01	1.50E-01	8.00E-01
YOL137W	weak similarity to tetracycline resistance proteins	5.00E-01	8.70E-01	1.00E+00
YOL138C	weak similarity to hypothetical trp-asp repeats containing protein S. pombe	5.00E-01	8.70E-01	1.00E+00
YOL139C	translation initiation factor eIF4E	7.40E-01	7.70E-01	4.00E-01
YOL140W	acetylornithine aminotransferase	8.00E-01	6.20E-01	5.10E-01
YOL141W	similarity to YDR435c and C.elegans hypothetical protein	8.80E-01	7.80E-01	1.00E+00
YOL142W	"protein involved in ribosomal RNA processing, component of the exosome complex responsible for 3' end processing and degradation of many RNA species"	6.60E-01	9.70E-01	5.80E-01
YOL143C	"6,7-dimethyl-8-ribityllumazine synthase"	6.60E-01	9.70E-01	5.80E-01
YOL144W	nucleolar protein required for 60S ribosome biogenesis	8.00E-01	9.40E-01	5.70E-01
YOL145C	required for G1 cyclin expression	8.00E-01	9.40E-01	5.70E-01
YOL146W	weak similarity to hypothetical protein S. pombe	6.70E-01	1.00E+00	1.00E+00
YOL147C	peroxisomal membrane protein - peroxin	6.70E-01	1.00E+00	1.00E+00
YOL148C	member of the TBP class of SPT proteins that alter transcription site selection	4.10E-01	6.60E-01	3.20E-01
YOL149W	mRNA decapping enzyme	4.10E-01	3.50E-01	1.00E+00
YOL150C	questionable ORF	4.10E-01	3.50E-01	1.00E+00
YOL151W	similarity to plant dihydroflavonol-4-reductases	5.20E-01	6.60E-01	5.80E-01
YOL152W	similarity to FRE1P and FRE2P	4.80E-01	4.60E-01	6.00E-01
YOL153C	strong similarity to CPS1P	5.10E-01	8.20E-01	9.60E-01
YOL154W	similarity to S.fumigata Asp FII	1.10E-01	2.90E-03	7.10E-01
YOL155C	"similarity to glucan 1,4-alpha-glucosidase Sta1p and YAR066w"	7.40E-01	4.40E-01	5.90E-01
YOL156W	low affinity glucose transport protein	9.30E-01	7.20E-01	9.90E-01
YOL157C	strong similarity to alpha-glucosidases	9.30E-01	7.20E-01	9.90E-01
YOL158C	a gene of the major facilitator superfamily encodes a transporter for enterobactin	8.50E-01	3.70E-01	6.00E-01
YOL159C	hypothetical protein	2.20E-01	2.00E-01	4.30E-01
YOL160W	hypothetical protein	4.30E-01	1.60E-01	2.10E-01
YOL161C	strong similarity to members of the SRP1P/TIP1P family	4.30E-01	8.90E-01	8.10E-01
YOL162W	strong similarity to hypothetical protein YIL166c	4.80E-01	9.70E-01	8.50E-01
YOL163W	similarity to P. putida phthalate transporter	4.80E-01	9.70E-01	8.50E-01
YOL164W	similarity to Pseudomonas alkyl sulfatase	5.20E-01	9.90E-01	8.70E-01
YOL165C	putative aryl alcohol dehydrogenase	1.30E-01	9.40E-01	2.70E-01
YOL166C	hypothetical protein	5.80E-01	9.00E-01	7.20E-01
YOR001W	similarity to human nucleolar 100K polymyositis-scleroderma protein	8.70E-01	6.70E-01	5.40E-01
YOR002W	glucosyltransferase	9.60E-01	7.80E-01	6.40E-01
YOR003W	subtilisin-like protease III	9.80E-01	3.40E-01	9.00E-01
YOR004W	weak similarity to hypothetical protein YDR339c	8.20E-01	6.30E-01	6.30E-01
YOR005C	DNA ligase IV	7.90E-01	7.20E-01	1.70E-01
YOR006C	similarity to M.jannaschii hypothetical protein MJ0708	9.50E-01	8.40E-01	6.90E-01
YOR007C	similarity to protein phosphatases	9.90E-01	8.80E-01	8.70E-01
YOR008C	required for cell wall integrity and for stress response	8.90E-01	6.10E-01	5.90E-01
YOR008C-A	reduced growth in diepoxybutane and/or mitomycin C	5.60E-01	8.20E-01	3.30E-01
YOR009W	similarity to TIR1P and TIR2P	5.60E-01	8.20E-01	3.30E-01
YOR010C	cold shock induced protein	5.30E-01	5.70E-01	1.00E+00
YOR011W	strong similarity to ATP-dependent permeases	1.00E+00	1.00E+00	1.00E+00
YOR012W	similarity to YDR391c	6.70E-01	7.80E-01	7.00E-01
YOR013W	strong similarity to YDR391c	6.70E-01	7.80E-01	7.00E-01
YOR014W	potential regulatory subunit of protein phosphatase 2A	3.30E-01	6.80E-01	1.70E-01
YOR015W	hypothetical protein	3.30E-01	6.80E-01	1.70E-01
YOR016C	similarity to human COP-coated vesicle membrane protein	8.70E-01	5.50E-01	4.40E-01
YOR017W	component of mitochondrial translation system	8.70E-01	5.50E-01	4.40E-01
YOR018W	"O-dinitrobenzene,calcium and zinc resistance protein"	9.10E-01	7.90E-01	2.80E-01
YOR019W	similarity to YDR474c	4.80E-01	8.40E-01	7.50E-01
YOR020C	"chaperonin, mitochondrial"	5.70E-01	8.70E-01	6.20E-01
YOR021C	similarity to Pyrococcus horikoshii hypothetical protein PHBQ041	2.90E-01	7.60E-01	3.50E-01
YOR022C	weak similarity to D.melanogaster probable Ca2+ transporter rdgB	4.10E-01	1.20E-01	4.50E-01
YOR023C	component of the ADA histone acetyltransferase complex	1.80E-01	6.80E-01	6.60E-01
YOR024W	hypothetical protein	1.80E-01	6.80E-01	6.60E-01
YOR025W	silencing protein	1.80E-01	6.80E-01	6.60E-01
YOR026W	cell cycle arrest protein	3.90E-01	1.10E-01	6.10E-01
YOR027W	stress-induced protein	6.80E-01	5.00E-01	6.30E-01
YOR028C	transcriptional activator	6.90E-01	5.90E-01	7.50E-01
YOR029W	hypothetical protein	6.90E-01	5.90E-01	7.50E-01
YOR030W	involved in invasive growth upon nitrogen starvation	5.80E-01	5.10E-01	5.30E-01
YOR031W	"suppressor of cup1 deletion, metallothionein-like protein"	6.90E-01	4.00E-01	2.40E-01
YOR032C	weak similarity to DNA-binding proteins	9.50E-01	5.50E-01	4.80E-01
YOR033C	exonuclease which interacts with MSH2P	6.60E-01	5.90E-01	5.80E-01
YOR034C	involved in constitutive endocytosis of STE3P	3.50E-01	2.60E-01	3.30E-01
YOR035C	required for mother cell-specific gene expression	1.00E+00	5.10E-01	1.00E+00
YOR036W	"syntaxin (T-SNARE), vacuolar"	1.00E+00	5.10E-01	1.00E+00
YOR037W	cytochrome-c mitochondrial import factor	5.50E-01	2.00E-01	1.90E-01
YOR038C	histone transcription regulator	5.30E-01	2.80E-01	4.80E-01
YOR039W	casein kinase II beta' chain	5.30E-01	2.80E-01	4.80E-01
YOR040W	glyoxalase II (hydroxyacylglutathione hydrolase)	9.20E-01	4.50E-01	8.90E-01
YOR041C	questionable ORF	8.50E-01	1.00E+00	1.00E+00
YOR042W	weak similarity to YDR273w	5.00E-01	5.80E-01	4.60E-01
YOR043W	growth regulation protein	5.10E-01	6.00E-01	1.30E-01
YOR044W	weak similarity to YDR275w	8.30E-01	1.20E-01	4.90E-01
YOR045W	"mitochondrial outer membrane import receptor subunit, 6 kD"	9.90E-01	6.40E-01	5.40E-01
YOR046C	RNA helicase	8.40E-01	6.10E-01	4.80E-01
YOR047C	dosage-dependent modulator of glucose repression	5.80E-01	2.80E-01	6.40E-01
YOR048C	5'-3' exoribonuclease	6.70E-01	8.00E-01	4.30E-01
YOR049C	"similarity to YER185w, RTA1P"	8.00E-01	4.20E-01	7.10E-01
YOR050C	hypothetical protein	8.80E-01	2.10E-01	7.50E-01
YOR051C	weak similarity to myosin heavy chain proteins	6.40E-01	4.60E-01	6.50E-01
YOR052C	similarity to hypothetical protein S. pombe	5.50E-01	7.80E-01	3.60E-01
YOR053W	similarity to protamines	5.50E-01	7.80E-01	3.60E-01
YOR054C	similarity to SIS2P protein and C.tropicalis hal3 protein	8.40E-01	6.60E-01	4.70E-01
YOR055W	questionable ORF	5.50E-01	7.80E-01	3.60E-01
YOR056C	weak similarity to human phosphorylation regulatory protein HP-10	5.70E-02	8.90E-01	8.00E-01
YOR057W	suppressor of G2 allele of SKP1	5.70E-02	8.90E-01	8.00E-01
YOR058C	microtubule-associated protein (nonmotor)	9.80E-02	1.00E+00	5.60E-01
YOR059C	weak similarity to YGL144c	1.00E+00	6.00E-01	1.00E+00
YOR060C	hypothetical protein	2.10E-01	1.00E+00	6.50E-01
YOR061W	casein kinase II alpha' chain	2.10E-01	1.00E+00	6.50E-01
YOR062C	strong similarity to YKR075c	5.40E-01	5.50E-01	9.30E-01
YOR063W	60S large subunit ribosomal protein L3.e	5.40E-01	5.50E-01	9.30E-01
YOR064C	"component of histone acetyltransferase complex, has similarity to human retinoblastoma binding protein 2"	6.60E-01	2.80E-01	4.20E-01
YOR065W	cytochrome-c1	6.60E-01	2.80E-01	4.20E-01
YOR066W	hypothetical protein	1.70E-01	5.50E-02	4.20E-02
YOR067C	glucosyltransferase	4.20E-01	4.00E-01	2.10E-01
YOR068C	hypothetical protein	9.10E-02	8.30E-01	2.90E-01
YOR069W	involved in Golgi retention and vacuolar sorting	9.10E-02	8.30E-01	2.90E-01
YOR070C	GTPase activating protein for YPT1P and SEC4P	2.70E-01	8.10E-01	5.90E-01
YOR071C	"strong similarity to,Thi10p"	7.90E-01	4.70E-01	8.40E-01
YOR072W	hypothetical protein	7.90E-01	4.70E-01	8.40E-01
YOR073W	hypothetical protein	6.70E-01	5.20E-01	5.40E-01
YOR074C	thymidylate synthase	2.20E-02	7.60E-01	5.80E-02
YOR075W	syntaxin (T-SNARE) of the ER	2.20E-02	7.60E-01	5.80E-02
YOR076C	GTPase with function in 3'-to-5' degradation of mRNA	3.80E-02	7.20E-01	5.50E-02
YOR077W	similarity to mouse KIN17 protein	3.80E-02	7.20E-01	5.50E-02
YOR078W	weak similarity to YMR172w	5.40E-01	5.30E-01	1.00E+00
YOR079C	multicopy suppressor of SOD-linked defects	8.20E-01	1.00E+00	1.00E+00
YOR080W	weak similarity to TRCDSEMBL:RNRNAHOP_1 Rattus norvegicus mRNA for Hsp70/Hsp90 organizing protein	8.20E-01	1.00E+00	1.00E+00
YOR081C	strong similarity to YKR089c	6.30E-01	3.80E-01	1.00E+00
YOR082C	questionable ORF	4.60E-01	4.80E-01	1.00E+00
YOR083W	weak similarity to YKR091w	6.30E-01	3.80E-01	1.00E+00
YOR084W	hypothetical protein	4.60E-01	4.80E-01	1.00E+00
YOR085W	oligosaccharyltransferase gamma subunit	6.20E-01	4.50E-01	6.60E-01
YOR086C	weak similarity to synaptogamines	9.10E-01	5.20E-01	7.50E-01
YOR087W	hypothetical protein	6.10E-01	5.90E-01	2.10E-01
YOR088W	weak similarity to human calcium influx channel	6.10E-01	5.90E-01	2.10E-01
YOR089C	GTP-binding protein	4.70E-01	4.40E-01	4.60E-01
YOR090C	putative 2C protein phosphatase (PP2Cs)	3.30E-01	7.10E-01	4.20E-01
YOR091W	similarity to hypothetical S.pombe protein D83992_G	3.30E-01	7.10E-01	4.20E-01
YOR092W	involved in cell wall biogenesis and architecture	6.10E-01	6.10E-01	8.50E-01
YOR093C	similarity to S.pombe hypothetical protein SPAC22F3.04	1.50E-01	8.70E-01	3.70E-01
YOR094W	ADP-ribosylation factor 3	1.50E-01	8.70E-01	3.70E-01
YOR095C	D-ribose-5-phosphate ketol-isomerase	7.50E-01	4.90E-01	5.50E-01
YOR096W	ribosomal protein	7.50E-01	4.90E-01	5.50E-01
YOR097C	hypothetical protein	3.90E-01	6.20E-01	4.90E-01
YOR098C	nuclear pore protein	8.20E-01	2.00E-01	9.20E-01
YOR099W	mannosyltransferase involved in n-linked and o-linked glycosylation	8.20E-01	2.00E-01	9.20E-01
YOR100C	"mitochondrial carnitine carrier, member of the mitochondrial carrier (MCF) family"	5.90E-01	8.20E-01	9.40E-01
YOR101W	GTP-binding protein	5.90E-01	8.20E-01	9.40E-01
YOR102W	questionable ORF	2.40E-01	6.30E-01	1.00E+00
YOR103C	oligosaccharyltransferase epsilon subunit	5.40E-01	1.20E-01	4.90E-01
YOR104W	hypothetical protein	5.40E-01	1.20E-01	4.90E-01
YOR105W	questionable ORF	5.40E-01	1.20E-01	4.90E-01
YOR106W	syntaxin (t-SNARE)	1.80E-01	5.30E-01	7.20E-01
YOR107W	negative regulator of glucose-induced cAMP signaling pathway	4.90E-01	2.10E-01	5.10E-01
YOR108W	strong similarity to LEU4P	9.60E-01	5.60E-01	2.40E-01
YOR109W	phosphatidylinositol phosphate phosphatase	4.10E-01	1.00E+00	5.60E-01
YOR110W	"TFIIIC (transcription initiation factor) subunit, 55 kDa"	7.50E-01	7.10E-01	5.70E-01
YOR111W	weak similarity to B.subtilis maf protein	5.70E-01	6.40E-01	1.00E+00
YOR112W	similarity to C.elegans hypothetical protein	1.00E+00	1.00E+00	6.60E-01
YOR113W	asparagine-rich zinc finger protein	5.30E-01	6.80E-01	5.70E-01
YOR114W	hypothetical protein	2.10E-01	6.40E-02	5.00E-01
YOR115C	TRAPP subunit of 33 kDa involved in targeting and fusion of ER to golgi transport vesicles	5.90E-02	3.40E-01	1.40E-01
YOR116C	"DNA-directed RNA polymerase III, 160 KD subunit"	2.60E-01	6.20E-01	8.20E-01
YOR117W	26S proteasome regulatory subunit	2.60E-01	6.20E-01	8.20E-01
YOR118W	similarity to PIR:T39884 hypothetical protein SPBC21.02 S. pombe	3.60E-02	4.70E-01	1.30E-01
YOR119C	similarity to a C.elegans ZK632.3 protein	3.90E-01	8.40E-01	6.80E-01
YOR120W	galactose-induced protein of aldo/keto reductase family	3.90E-01	8.40E-01	6.80E-01
YOR121C	questionable ORF	7.00E-01	4.20E-01	6.50E-01
YOR122C	profilin	3.60E-01	5.80E-01	4.60E-01
YOR123C	extremely hydrophilic protein	4.10E-01	3.80E-01	4.10E-01
YOR124C	ubiquitin-specific proteinase	3.70E-02	5.80E-01	1.80E-01
YOR125C	involved in coenzyme Q (ubiquinone) biosynthesis	6.80E-01	3.40E-01	1.00E+00
YOR126C	isoamyl acetate hydrolytic enzyme	1.90E-01	7.40E-01	3.50E-01
YOR127W	RHO-type GTPase-activating protein for CDC42P	1.90E-01	7.40E-01	3.50E-01
YOR128C	phosphoribosylaminoimidazole carboxylase	3.90E-01	9.30E-01	2.70E-01
YOR129C	weak similarity to hypothetical protein SPBC776.06c S. pombe	4.20E-01	7.00E-01	4.00E-01
YOR130C	"ornithine transport protein of mitochondria involved in arginine metabolism, member of the mitochondrial carrier family (MCF)"	7.60E-01	8.00E-01	6.00E-01
YOR131C	weak similarity to E.coli hypothetical 27K protein	6.70E-01	7.00E-01	4.80E-01
YOR132W	vacuolar protein sorting-associated protein	6.70E-01	7.00E-01	4.80E-01
YOR133W	translation elongation factor eEF2	3.60E-01	4.90E-01	3.60E-01
YOR134W	structural homolog of SAC7P	8.00E-01	8.00E-01	9.00E-01
YOR135C	questionable ORF	7.30E-01	5.70E-01	6.60E-01
YOR136W	"isocitrate dehydrogenase (NAD+) subunit 2, mitochondrial"	5.00E-01	2.30E-01	5.00E-01
YOR137C	similarity to YLR361c	2.90E-01	2.70E-01	4.50E-01
YOR138C	weak similarity to TRCDSEMBL:AF175293_2 gene: vanSD sensor protein kinase Enterococcus faecium strain vanD glycopeptide resistance gene cluster	5.90E-05	4.90E-03	2.30E-04
YOR139C	questionable ORF	6.50E-01	5.80E-01	5.20E-01
YOR140W	transcription factor	5.90E-05	4.90E-03	2.30E-04
YOR141C	Actin-related protein	7.40E-02	7.20E-01	1.20E-01
YOR142W	succinate-CoA ligase alpha subunit	7.40E-02	7.20E-01	1.20E-01
YOR142W-A		8.60E-01	6.80E-01	6.90E-01
YOR142W-B		8.60E-01	6.80E-01	6.90E-01
YOR143C	thiamin pyrophosphokinase	5.40E-01	6.30E-01	4.70E-01
YOR144C	weak similarity to human DNA-binding protein PO-GA and to bacterial H+-transporting ATP synthases	8.30E-02	6.80E-01	2.20E-01
YOR145C	strong similarity to hypothtical S. pombe protein and to hypothetical C. elegans protein	9.30E-01	6.10E-01	5.90E-01
YOR146W	questionable ORF	8.30E-02	6.80E-01	2.20E-01
YOR147W	similarity to YHR194w	9.30E-01	6.10E-01	5.90E-01
YOR148C	involved in pre-mRNA processing	5.60E-01	7.30E-01	4.70E-01
YOR149C	protein kinase C pathway protein	7.90E-01	8.70E-01	9.60E-01
YOR150W	"ribosomal protein of the large subunit, mitochondrial"	7.90E-01	8.70E-01	9.60E-01
YOR151C	"DNA-directed RNA polymerase II, 140 kDa chain"	5.90E-01	7.70E-01	7.90E-01
YOR152C	hypothetical protein	6.20E-01	1.00E+00	1.00E+00
YOR153W	pleiotropic drug resistance protein	8.70E-01	1.20E-01	6.30E-01
